selfies,-logKd/Ki
[NH3+1][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O-1],1.35
[NH3+1][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],1.35
[C][C][=Branch1][C][=O][C][Branch1][C][N][=O],1.36
[C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][O],1.4
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.4
[O][=C][Branch1][C][O-1][C][C][=Branch1][C][=O][O-1],1.4
[O][=C][Branch1][C][O-1][C][=Branch1][C][=O][O-1],1.4
[C][C][C][C][C][Branch2][Ring2][#C][C][NH2+1][C][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][C][C][O][C][Branch1][C][C][C][C],4.76
[NH3+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],6.01
[NH3+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.44
[C][C][Branch1][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],7.03
[O][=C][Branch1][C][O-1][C][C][C][C][=Branch1][C][=O][O-1],1.52
[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=Branch1][C][=O][O-1],1.54
[C][C][C][C][C][C][=C][C][C][=C][C][C][=C][C][C][=C][C][C][C][C][=Branch1][C][=O][O-1],7.04
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.6
[C][NH2+1][C][C][C][C][C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][Branch2][Ring1][N][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][C][NH3+1][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][O],4.77
[C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],4.77
[C][C][C][=Branch1][C][=O][O-1],1.7
[O][=C][Branch1][C][O-1][C][=Branch1][C][=O][O-1],4.77
[C][C][C][C][C][Branch1][#C][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],8.019999999999998
[N][C][=Branch1][C][=O][C][C][Branch1][#C][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],7.05
[C][C][Branch1][C][C][C][C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O],4.77
[O][C][C][C][C][C][C][C][C][C][C][C][C][Br],6.03
[O][C][C][C][C][C][C][C][C][C][C][C][C][Br],6.03
[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=Branch1][C][=O][O-1],1.82
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][Branch1][Branch2][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][#C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O],6.03
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][Branch2][Branch2][C][=Branch1][C][=O][N][C][Branch1][=N][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch2][Branch1][#Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O],4.78
[C][=C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][NH3+1],7.05
[C][NH1+1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][N+1][Branch1][C][C][Branch1][C][C][C],7.05
[C][C][Branch1][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.91
[C][C][Branch1][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch2][Ring2][#C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O],4.79
[C][C][C][C][C][C][C][C][C][=C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],8.05
[C][NH1+1][Branch1][C][C][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.0
[C][C][Branch1][Ring1][C][=O][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][=N][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][C][NH3+1],4.8
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][=Branch2][Branch1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch2][=Branch1][O][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][=N][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O][C][Branch1][C][C][O],6.05
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][O-1],4.8
[C][S][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.06
[C][C][=Branch1][C][=N][N][C][C][C][C][Branch1][S][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][=Branch1][C][=O][O-1][C][Branch1][C][N][=O],4.8
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],6.05
[C][NH1+1][Branch1][C][C][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],6.05
[O][=C][Branch1][C][O-1][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1],6.05
[C][C][=Branch1][C][=O][N][C][Branch2][Branch1][Ring1][C][=Branch1][C][=O][N][C][Branch2][Ring1][=C][C][=Branch1][C][=O][N][C][Branch1][O][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][O][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O-1][C][Branch1][C][C][C],4.82
[NH3+1][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],4.82
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],7.08
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][O][Branch2][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch2][Branch2][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][=N][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch2][Ring2][Branch2][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O][C][Branch1][C][C][O],4.82
[N][C][=C][C][C][NH2+1][C][C][C][NH3+1],2.19
[N][C][=Branch1][C][=O][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],6.05
[C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Branch2][Branch1][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O],4.82
[C][C][Branch1][Ring1][C][=O][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][NH3+1],4.82
[O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O],2.22
[C][=C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch2][Branch1][#C][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][Ring1][C][C][N][C][=Branch1][C][=O][C][Branch1][=N][C][Branch1][C][O][C][Branch1][C][C][C][C][=C][C][NH1+1][Branch1][C][C][O][O][C][Branch1][C][C][C],6.06
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2.22
[C][C][C][C][C][C][C][C][C][=C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],8.07
[NH3+1][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],6.06
[C][S][C][C][C][Branch1][#C][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],7.1
[C][S][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],4.82
[O][=C][Branch1][C][O-1][C][=Branch1][C][=O][C][O],2.27
[C][C][C][Branch1][C][C][C][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][S][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][O],6.07
[C][S][C][C][C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][O],6.07
[C][C][C][C][Branch1][N][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][O][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][S][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][C],4.84
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2.3
[C][C][Branch1][=N][C][C][O][C][=Branch1][C][=O][N][Branch1][C][C][C][NH1+1][Branch1][C][C][C],7.1
[C][C][=Branch1][C][=O][N][C][Branch1][#C][C][Branch1][C][O][C][C][Branch1][C][O][C][=Branch1][C][=O][O-1][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O],2.39
[C][NH2+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],4.85
[C][C][C][Branch1][C][C][C][Branch2][=Branch1][Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch2][#Branch1][Ring2][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][S][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][=O][C][O][C][Branch1][C][C][C][C],4.85
[NH3+1][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],6.09
[C][N+1][Branch1][C][C][Branch1][C][C][C][C][C][C][=Branch1][C][=O][O-1],2.41
[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O],2.44
[C][C][Branch1][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.44
[NH3+1][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.44
[NH3+1][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],6.09
[NH3+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][S][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],7.12
[C][C][Branch1][C][O][C][Branch1][#C][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],7.12
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],6.1
[C][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][C][C][O],6.1
[C][S][C][C][C][Branch1][S][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][=O][C][C][=Branch1][C][=O][O-1],8.099999999999998
[O][=C][Branch1][C][O-1][C][=C][C][=Branch1][C][=O][O-1],2.47
[C][C][Branch1][C][C][C][C][Branch1][S][N][C][=Branch1][C][=O][C][Branch1][C][O][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][C][C][C][N][C][Branch1][C][N][=NH2+1],7.12
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][Ring2][#C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O],2.47
[C][C][C][Branch1][C][C][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][C][C][C][NH3+1][C][=Branch1][C][=O][O-1],6.1
[C][S][C][C][C][Branch2][Ring2][=Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][C],4.87
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][C][=Branch1][C][=O][O-1],4.87
[O][=C][Branch1][C][O-1][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1],7.12
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2.52
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch1][=N][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O],4.88
[C][S][C][C][=Branch1][C][=O][O-1],2.52
[NH3+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],4.88
[C][C][C][Branch1][C][C][C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][O],6.1
[C][C][Branch1][C][C][C][=Branch1][C][=O][O-1],2.54
[C][C][Branch1][C][C][C][C][Branch1][S][N][C][=Branch1][C][=O][C][Branch1][C][O][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][C][C][C][N][C][Branch1][C][N][=NH2+1],8.0
[C][C][Branch1][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.55
[C][C][C][C][C][Branch2][Ring2][#C][C][NH2+1][C][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][C][C][O][C][C][Branch1][C][C][C][C],4.89
