selfies,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
[C][C][C][Si][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][C][C][N][C][C][N][C][C][N],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][N][C][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][C][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O],,,,,,,,,,0.0,,
[Cl][C][O][C][Cl],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][O][C][N][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Cu][I],0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0
[C][C][C][C][C][Branch1][Ring1][C][C][C][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=C][Branch1][C][O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][O][C][O][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][Si][Branch1][C][C][Branch1][C][C][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][=O],0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
[Br][C][Br],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[O].[O].[O].[O].[O].[O].[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Mg+2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][Branch1][C][Cl][C][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C][=C],0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,
[C][C][C][C][P+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
[C][C][C][C][C][C][C][C][N][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][C][=Branch1][C][=C][C],,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][O],0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
[C][C][C][C][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][O-1],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][C][P+1][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][P+1][Branch1][=Branch2][C][C][C][C][C][C][C][C][Branch1][=Branch2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],0.0,,,1.0,,,,,,,1.0,
[O][=P][Branch1][=Branch2][O][C][Branch1][Ring1][C][Cl][C][Cl][Branch1][=Branch2][O][C][Branch1][Ring1][C][Cl][C][Cl][O][C][Branch1][Ring1][C][Cl][C][Cl],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][Branch1][C][C][C][N][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][C][=Branch1][C][=S][N][N][C][Branch1][C][N][=S],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][C][=Branch1][C][=S][C][Branch1][C][N][=S],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[C][Hg][Cl],0.0,0.0,0.0,,0.0,,1.0,,1.0,1.0,,1.0
[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=Branch1][C][=N][N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
[C][C][C][C][N][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=S][S][S][C][=Branch1][C][=S][N][Branch1][Branch1][C][C][C][C][C][C][C][C],0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,,0.0
[C][N][C][=Branch1][C][=O][/C][=C][Branch1][C][\C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][=C][C][=Branch1][C][=O][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=Cr][=Branch1][C][=O][Branch1][C][O-1][O][Cr][=Branch1][C][=O][=Branch1][C][=O][O-1],0.0,,0.0,,0.0,0.0,,1.0,0.0,0.0,,1.0
[O][=P][Branch1][C][Cl][Branch1][C][Cl][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][N][C][N],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N][C][C][C][C][C][C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N][C][C][Branch1][Ring1][C][C][C][C][C][C],0.0,,,,,,,,,,,
[C][C][Branch1][C][O][C][N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][/C][Branch1][C][N][=N][/N+1][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][=Branch1][C][=O][O][Cr][Branch1][C][O][O][C][Branch1][C][C][=O].[C][C][=Branch1][C][=O][O][Cr][Branch1][C][O][O][C][Branch1][C][C][=O].[C][C][=Branch1][C][=O][O][Cr][Branch1][#Branch1][O][C][Branch1][C][C][=O][O][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][N][C][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=C][Branch1][C][O][C@@H1][Branch1][C][S][C@H1][Branch1][C][S][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,
[O][=C][Branch1][Ring2][C][C][S][O][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
[C][C][Branch1][C][C][Branch1][C][N][C][O],0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=N+1][Branch1][C][O-1][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
[O][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O][C][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[O][=N+1][Branch1][C][O-1][O][C][C][N][Branch1][=Branch2][C][C][O][N+1][=Branch1][C][=O][O-1][C][C][O][N+1][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][Si][Branch1][Branch1][C][C][C][S][Branch1][Ring1][O][C][O][C],0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][N+1][Branch1][C][C][=C][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=Zr][Branch1][C][Cl][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[C][N][Branch1][C][C][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][Sn][Branch1][Branch1][C][C][C][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][O][C][Branch1][C][C][=O],0.0,,,,,0.0,,1.0,,,1.0,1.0
[C][C][Branch1][C][C][=C][C][C][C@H1][Branch1][C][C][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][C][C][Branch1][C][O][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][O][S][Branch1][C][C][=Branch1][C][=O][=O],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][=C][Branch1][C][C][O][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][O][C][#C][C][Branch1][C][C][O],0.0,,0.0,,0.0,0.0,1.0,,,,,0.0
[C][C][C][C][O][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][#C][C][C][C][#N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][Cl][Branch1][C][Cl][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=C][Branch1][Ring1][C][Cl][C][Cl],0.0,,0.0,,0.0,1.0,1.0,,1.0,0.0,,1.0
[C][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][O][C][C][O][C][C][O][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
[C][C][C][C][C][C][C][C][/C][=C][/C][=Branch1][C][=O][O-1].[C][C][C][C][C][C][C][C][/C][=C][/C][=Branch1][C][=O][O-1],,,,,,,,0.0,,0.0,,
[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C],0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][N][C][C][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Cl][C][C][C][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][O][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][O][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[N][C][C][N][C][C][N],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][O][P][=Branch1][C][=O][Branch1][Ring1][C][C][O][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[N][C][=Branch1][C][=O][C][C][C][C][C][Branch1][C][N][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][N][C][=Branch1][C][=O][O][N][=C][C][Branch1][C][C][Branch1][C][C][S][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][N],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][Branch1][C][N][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][O][C][=Branch1][C][=O][N][N],0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1][C][O][C][O],1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
[C][S][C][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][/C][=C][/C][=C][/C][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][=C][C][C][=Branch1][C][=O][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][#N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][Branch1][C][O][C][C][O][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][C][C][C][C][C][C][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N],,,,,,,,0.0,,0.0,,
[C][N][C][=Branch1][C][=O][N][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][C][C][C][C][/C][=C][/C][=O],0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[C][C][/C][=C][\C][C][/C][=C][/C][Branch1][Ring2][O][C][C][O][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0
[C][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][O][C][C][O][C][C][S][C][#N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Br][C][C][C][Br],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
[O][=S][=Branch1][C][=O][Branch1][C][O-1][O-1].[Na+1].[Na+1],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][N][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][O][C][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
[C][O][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
[C][O][C][=Branch1][C][=O][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
[C][C][Branch1][Ring2][C][C][=O][C][C][C][C][Branch1][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][N][Branch1][C][O][C][C],0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-1][Cl+3][Branch1][C][O-1][Branch1][C][O-1][O-1],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][N][Branch1][C][C][N][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][N][Branch1][Ring2][C][C][C][N][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][N+1][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][C][N+1][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][=C][Branch1][C][N][N][N],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][C][C][S][S][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[Cl][C][C][C][C][C][C][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
