selfies,freesolv
[C][Branch1][Ring1][C][O][O],-9.3
[C][C][C][O][C][=O],-2.48
[C][C][C][C][C][C][=Branch1][C][=O][O],-6.21
[C][C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][C],-5.71
[C][O][C][=Branch1][C][=O][C][Cl],-4.0
[C][C][C][C][=O],-3.18
[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl],-0.44
[C][C][N][Branch1][Ring1][C][C][C][C],-3.22
[C][=C][C][Cl],-0.57
[C][=O],-2.75
[C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],-4.42
[C][C][Branch1][C][C][O][C],-2.01
[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Cl],-1.99
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C],-2.64
[C][C][=Branch1][C][=C][C][=Branch1][C][=C][C],0.4
[C][C][C][C][C][=C],1.58
[S],-0.7
[C][C][O][C][C],-1.59
[C][C][C][C][C][C][O][C][=Branch1][C][=O][C],-2.26
[C][C][C][C][C][=Branch1][C][=O][O],-6.16
[C][C][Br],-0.74
[C][C][C][C][C][C][O],-4.4
[C][C][C][C][C][C][O][N+1][=Branch1][C][=O][O-1],-1.66
[C][Branch1][C][Br][Branch1][C][Br][Br],-2.13
[C][C][C][O][C][C][O],-6.4
[C][C][C][C][=Branch1][C][=O][O],-6.35
[C][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][Ring1][O][C][O][C],-0.8
[C][Branch1][C][F][Branch1][C][F][Branch1][C][F][Br],1.79
[C][C][C][C][O],-4.72
[C][C][O][C][=Branch1][C][=O][C],-2.94
[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],-1.69
[C][C][Branch1][C][C][Branch1][C][C][O][C],-2.21
[C][C][C][=Branch1][C][=O][C][C],-3.41
[C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],-1.1
[C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C],-3.11
[C][O][S][=Branch1][C][=O][=Branch1][C][=O][C],-4.87
[C][C][Branch1][C][C][N][C][Branch1][C][C][C],-3.22
[C][C][C][C][C][C][C][N],-3.79
[C][C][C],2.0
[C][Branch1][C][Cl][Cl],-1.31
[C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C],-2.4
[C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][C][Cl][Branch1][C][Cl][Cl],-1.45
[C][C][C][C][C][C][C][C][=Branch1][C][=O][C],-2.49
[C][C][C][C][N],-4.24
[C][C][C][C][=Branch1][C][=O][O][C][C],-2.49
[C][C][C][C][C][C][I],0.08
[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][Cl][Cl][Branch1][C][F][Branch1][C][F][Cl],1.77
[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],-8.7
[C][C][C][C][Branch1][C][C][C],2.51
[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Cl],0.06
[C][=C],1.28
[C][C][C][C][C][I],-0.14
[C][O][C][Branch1][Ring1][O][C][O][C],-4.42
[C][C][C][C][C][C][C][C][C][C],3.16
[C][C@@H1][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],-4.95
[C][C][=C],1.32
[C][O][P][=Branch1][C][=O][Branch1][=N][C@H1][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][O][C],-12.74
[C][C][=Branch1][O][=C][C][C][/C][=Branch1][Ring2][=C][/C][O][/C][C],-4.45
[C][C][Branch1][C][C][C][Branch1][C][C][C][Branch1][C][C][C],2.56
[C][C][Branch1][C][C][C][=Branch1][C][=O][C],-3.24
[C][C][C][C][N][C][C][C][C],-3.24
[C][C][C][C][S],-0.99
[C][Branch1][C][F][Branch1][C][F][Cl],-0.5
[C][C][#C],-0.48
[C][C][C][C][C][C][C][C][C][=O],-2.07
[C][C][C][=Branch1][C][=O][O],-6.46
[C][Branch1][C][Cl][Branch1][C][Cl][Cl],-1.08
[C],2.0
[C][C][C][C][Cl],-0.16
[C][C][Branch1][C][C][C][O][C][=O],-2.22
[C][C][O][C][C][O][C][C],-3.54
[C][C][C][C][C][O][C][=Branch1][C][=O][C][C],-2.11
[C][C][=C][Branch1][C][C][C],1.31
[C][Branch1][Ring1][C][Cl][Cl],-1.79
[C][C][C][Branch1][C][C][Branch1][C][C][C][C],2.56
[C][O][C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Branch1][C][F][F],-1.12
[C][C][O][C][C][O][C][=Branch1][C][=O][C],-5.31
[C][C][C][Branch1][C][C][Branch1][C][C][O],-4.43
[C][O][C][O][C],-2.93
[C][C][C][Branch1][Ring1][C][C][O],-4.35
[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C],-2.15
[C][Branch1][Ring1][C][Br][Cl],-1.95
[C][C][I],-0.74
[C][C][Branch1][C][C][Br],-0.48
[C][S][=Branch1][C][=O][=Branch1][C][=O][C],-10.08
[C][C][/C][=C][\C],1.31
[C][C],1.83
[C][C][S][C][C],-1.46
[C][Branch1][C][F][Cl],-0.77
[C][C][C][C][=C],1.68
[C][C][C][C][C][C][#C],0.6
[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C],-2.34
[C][C][C][C][C][=O],-3.03
[C][C][C][C][N+1][=Branch1][C][=O][O-1],-3.09
[C][Branch1][Ring1][C][Cl][O][C][C][Cl],-4.23
[C][C][N+1][=Branch1][C][=O][O-1],-3.71
[C][Br],-0.82
[C][O],-5.1
[C][C][C][C][C][C][C][=O],-2.67
[C][C][C][C][C][C][C][C][=O],-2.29
[C][F],-0.22
[C][S][=Branch1][C][=O][C],-9.28
[C][C][C][C][Br],-0.4
[C][C][C][C][C][C][C][C][C][O],-3.88
[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],0.1
[C][C][Branch1][C][C][Branch1][C][C][Br],0.84
[C][O][C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],-5.73
[C][C][=Branch1][C][=O][N],-9.71
[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C],-5.1
[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],-2.37
[C][C][C][C][C][C][Br],0.18
[C][C][C][C][C][C][C][Br],0.34
[C][O][C][Branch1][Ring2][C][C][#N][Branch1][Ring1][O][C][O][C],-6.4
[C][C][C@H1][Branch1][C][C][Cl],0.0
[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C],-6.0
[C][S][C],-1.61
[C][C][C][C][C][=Branch1][C][=O][O][C],-2.56
[C][C][C][C][=Branch1][C][=C][C],1.47
[C][=C][Cl],-0.59
[C][C][C][C][=Branch1][C][=O][C][C][C],-2.92
[C][C][C][C][=Branch1][C][=O][O][C][C][C],-2.28
[C][C][O][C][C][O],-6.69
[C][C][C][Branch1][C][C][C][C],2.51
[C][C][C][N+1][=Branch1][C][=O][O-1],-3.34
[C][C][O],-5.0
[C][C][O][C][=O],-2.56
[C][C][C][C][C][C][C][C][O],-4.09
[C][C][C][=C],1.38
[C][Branch1][C][Cl][Branch1][C][Cl][Branch1][C][Cl][Cl],0.08
[C][S][S][C],-1.83
[C][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C],-8.84
[C][O][C],-1.91
[C][C][C][C][C][C],2.48
[C][Branch1][Ring1][C][Br][Br],-2.33
[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],-1.23
[C][C][C][O][C][=Branch1][C][=O][C],-2.79
[C][C][S],-1.14
[C][C][S][S][C][C],-1.64
[C][C][C][C][=Branch1][C][=O][C],-3.52
[C][C][=Branch1][C][=O][O],-6.69
[C][C][=O],-3.5
[C][C][C][C][C][#C],0.29
[C][C][C][#N],-3.84
[C][C][C][C][O][C][=Branch1][C][=O][C],-2.64
[C][C][Branch1][C][C][Branch1][#Branch2][/C][=N][\O][C][=Branch1][C][=O][N][C][S][C],-9.84
[C][C][Branch1][C][C][C][=O],-2.86
[C][C][C][=Branch1][C][=O][N],-9.4
[C][C][C][Br],-0.56
[C][C][Branch1][C][C][Cl],-0.25
[C][Branch1][Ring1][C][Cl][C][Cl],-1.89
[C][C@@H1][Branch1][Ring1][C][Cl][Cl],-1.27
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][C],-4.37
[C][C][=Branch1][C][=O][C],-3.8
[C][C][=Branch1][C][=C][C],1.16
[C][C][C][C][C][N+1][=Branch1][C][=O][O-1],-2.82
[C][C][C][/C][=C][/C][=O],-3.68
[C][C][C][C][C][C][C][C],2.88
[C][C][=Branch2][Ring1][C][=C][C][C][C@][Branch1][C][C][Branch1][Ring1][C][=C][O][C][=Branch1][C][=O][C][C],-2.49
[C][C@@H1][Branch1][=Branch2][C][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],-4.29
[C][C][Branch1][C][C][O][C][Branch1][C][C][C],-0.53
[C][C][C][C][C][Branch1][C][C][C],2.93
[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][Cl][Br],-0.11
[C][C][C][C][O][C][C][C][C],-0.83
[C][C][Branch1][C][C][C][C][Branch1][C][C][C],2.83
[C][/C][=C][/C][=O],-4.22
[C][C][C][C@H1][Branch1][C][C][C][C],2.71
[C][O][C][C][O][C],-4.84
[C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C],-2.21
[C][C][C][C][C][C][Cl],0.0
[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C],-3.05
[C][C][C][C][C][C][=O],-2.81
[C][C][O][C][Branch1][C][C][O][C][C],-3.28
[C][S],-1.2
[C][=C][C][O],-5.03
[C][C][S][C],-1.5
[C][C][C][C][C][O][C][=Branch1][C][=O][C],-2.51
[C][C][Cl],-0.63
[C][C][Branch1][C][C][C][C][O],-4.42
[C][C][C][C][C][N],-4.09
[C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C],2.93
[C][C][C][C][O][C][C][O],-6.25
[C][C][Branch1][C][C][N+1][=Branch1][C][=O][O-1],-3.13
[C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O],-13.43
[C][C][C][I],-0.53
[C][O][C][C][N],-6.55
[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Cl],-1.43
[C][C][C][=Branch1][C][=O][O][C],-2.93
[C][O][C][C][O],-6.619999999999999
[C][O][C][=O],-2.78
[C][Branch1][Ring2][C][C][Cl][C][Cl],-2.32
[C][C][=Branch1][C][=O][C][O][N+1][=Branch1][C][=O][O-1],-5.99
[C][C][C][C][C][C][=Branch1][C][=O][O][C],-2.49
[C][C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O],-4.16
[C][C][C][C][C][Br],-0.1
[C][C][C][C][C][C][C][=C],1.92
[C][C][Branch1][C][C][O],-4.74
[C][C][C][C][C][C][N],-3.95
[C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][C][O][N+1][=Branch1][C][=O][O-1],-4.8
[C][C][C][C][C][O],-4.57
[C][C][C][C@@H1][Branch1][C][C][O],-4.39
[C][C][C][C][C@@H1][Branch1][C][C][C][C],2.97
[C][C][O][C][=Branch1][C][=O][C][C@H1][Branch1][Branch2][C][=Branch1][C][=O][O][C][C][S][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C],-8.15
[C][C][C][C][/C][=C][/C],1.68
[C][C][C][O][C][C][C],-1.16
[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],2.89
[C][C][C][C][C][=Branch1][C][=O][C][C][C][C],-2.64
[C][C][C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][S][C][C][C],-3.64
[C][C][C][C][C][C][=C],1.66
[C][C][Branch1][C][C][O][C][=O],-2.02
[C][C][Branch1][#Branch1][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C],-4.97
[C][C][C][Branch1][C][C][C],2.38
[C][C][C][C][O][N+1][=Branch1][C][=O][O-1],-2.09
[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl],-0.19
[C][C][C][C][C][C][C][I],0.27
[C][C][C][C][C][Cl],-0.1
[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C],-2.36
[C][C][C][Branch1][C][C][Branch1][C][C][C],2.51
[C][O][C][=Branch1][C][=O][C][C][#N],-6.72
[C][N],-4.55
[C][=Branch1][Ring1][=C][\Cl][\Cl],-1.17
[C][C][C][C][C][=Branch1][C][=O][C],-3.28
[C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],-5.73
[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][C][C],-7.5
[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O],-4.31
[C][C][C][C][O][C][C@H1][Branch1][C][C][O],-5.73
[C][C][C][O],-4.85
[C][C][Branch1][C][C][Branch1][C][C][C],2.51
[C][C][C][C][#C],0.01
[C][C][C][C][I],-0.25
[C][C][Branch1][C][C][I],-0.46
[C][C@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O],-4.2
[C][C][C][N],-4.39
[C][C][C][C][C][/C][=C][/C][=O],-3.43
[C][C][C][C][C][C][C][#C],0.71
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],-2.04
[C][C][C][C][C][C][C][Cl],0.29
[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],-11.01
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][O],-6.92
[C][C][C@@H1][Branch1][C][C][C][=C][C][=Branch1][=C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1],-6.23
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],-5.33
[C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],-7.78
[C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],-6.27
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N],-5.82
[C][C][C][C][N@][Branch1][Ring1][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],-3.51
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S],-2.55
[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],-4.4
[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.22
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Br],-5.85
[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-1.62
[C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.58
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N],-4.1
[C][=C][Branch1][O][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],-0.78
[C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-9.37
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O],-6.62
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],-0.8
[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-9.29
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N],-11.0
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-5.91
[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],-1.12
[C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=O][O],-4.68
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-3.45
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],-5.49
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.44
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][I],-6.2
[C][O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C],-6.96
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],-0.25
[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O],-6.01
[C][=C][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],1.07
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-9.51
[C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.23
[C][C@@H1][Branch1][P][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O],-7.0
[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][O],-6.5
[C][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][O],-6.79
[C][C][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.24
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],-7.66
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br],-1.46
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O],-6.62
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-3.58
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],-7.48
[C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.16
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][Cl],-4.55
[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][/C][=Branch1][Ring1][=C][/Cl][/C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl],-7.07
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][F],-5.29
[C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.24
[C][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.92
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],-0.83
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],-0.9
[C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][Ring1][O][C][O][C],-4.04
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.64
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-6.13
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Br],-2.38
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-5.94
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][#N],-9.65
[C][=C][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],-4.58
[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.53
[C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],-2.33
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Cl],-7.03
[C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][C][=O][O],-8.83
[C][O][C][=C][Branch1][#C][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][Cl],-6.44
[C][S][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.73
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-5.66
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],-0.68
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],-1.36
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.79
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],-4.02
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C],-4.7
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],-1.14
[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.4
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.45
[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.69
[C][=C][C][=C][C][=C][Ring1][=Branch1],-0.9
[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl],-1.24
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],-6.5
[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-8.72
