selfies,p_np
[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][=Branch2],0
[C][=C][Branch2][Ring2][C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][Branch1][=C][N][C][C][Branch1][Branch2][N][Branch1][Ring1][C][C][C][C][=O][=O][O][C][O][C][O][C],1
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][P][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][Ring2][=C][Ring1][S][C][Branch1][C][C][=O],1
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],0
[C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][Branch2][Ring1][Ring2][C][=Branch1][=Branch1][=C][Ring1][=Branch2][O][C][O][C][C][C][C][C][C][C][C][C][C][O][C],1
[C][=C][C][=Branch2][Ring1][#Branch2][=C][C][=C][Ring1][=Branch1][C][N][C][Branch1][=Branch1][C][Branch1][C][C][C][C][C][C][C][C][C][Branch1][C][O][=O][F],1
[C][=C][Branch1][C][Cl][C][=C][Branch2][Ring1][Branch2][C][=Branch2][Ring1][C][=C][Ring1][#Branch1][C][Branch1][O][N][C][C][N][Branch1][Ring1][C][C][C][C][=O][O][C][Cl],1
[C][C@@][Branch1][S][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][Branch1][Ring1][N][N][C][Branch1][C][O][=O],0
[C][=C][Branch1][=Branch2][C][C][Branch1][Ring2][C][C][=C][N][C][=C][C][=C][Ring1][N],1
[O][C][=Branch1][C][=O][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][C][Cl][C][C][Cl],0
[C][N][Branch1][=C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],1
[N][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1].[O][SH0][Branch1][C][O][=Branch1][C][=O][=O],1
[C][C][C][Branch1][C][O][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[N][C][=Branch1][C][=O][O][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C@@H1][Branch1][C][O][Branch1][#Branch2][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O].[C@@H1][Branch1][C][N][Branch2][Ring1][C][C][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][C],1
[N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],0
[O][C][C][Branch1][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl][C][Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O],0
[C][C][C][N][C][=Branch1][C][=O][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],0
[C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],0
[C][C][Branch1][C][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][O][=O],0
[C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Ring1][=Branch1][C][Branch1][O][C][N][C][Branch1][Branch1][C][C][C][O][=O][Branch1][Ring1][C][C][C][C][O][C],1
[C][C][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],1
[C][N][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],1
[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],1
[C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=C][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C][C][=Branch1][Ring2][=C][Ring1][#C][C][Branch1][C][C][=O],1
[C][O][C][=C][C][Branch1][Ring2][C][C][N][=C][C][Branch1][Ring1][O][C][=C][Ring1][O][O][C],1
[C][=C][C][=Branch2][Ring1][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][Branch1][=Branch1][N][Branch1][C][C][C][=O][Br],1
[C][N][C@@H1][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][Branch1][C][Br][C][=Branch2][Ring1][=Branch2][=C][C][=Branch2][Ring1][C][=C][Ring1][#Branch1][C][Branch1][O][N][C][C][N][Branch1][Ring1][C][C][C][C][=O][O][C][N],1
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][C][O][C][O][C][Branch1][C][N][=O],1
[N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][=C][Ring1][#Branch2],0
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch2][N][N][C][Branch1][Ring2][O][C][C][=O][C],1
[C][=C][Branch2][Ring1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][Branch1][C][N][=O][C][=C][C][=C][Ring1][P],1
[C][C][Branch1][C][C][C][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][Ring1][=Branch2][O],1
[H+1].[C][=C][Branch1][#C][C][C][Branch1][=Branch1][N][Branch1][C][C][C][Branch1][Ring1][C][O][C][C][=C][C][=Branch1][Branch1][=C][Ring1][=C][Cl][Cl].[Cl-1],1
[C][=C][C][=Branch2][Ring1][Ring1][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][O][Cl],1
[C][=C][C][=Branch2][Ring1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch2][C][C][Branch1][C][C][Branch1][C][C][O][Branch1][C][C][O][Cl],1
[C][=C][Branch1][#C][C][Branch1][O][C][N][C][Branch1][C][C][Branch1][C][C][C][O][C][=Branch1][=Branch1][=C][C][=C][Ring1][=C][F],1
[C@@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][SH0][Branch1][C][C][=Branch1][C][=O][=O][Branch1][S][C@H1][Branch1][O][N][C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][=O][C][F][O],1
[N][C][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],0
[C][C][O][C][=Branch1][C][=O][N][Branch1][Branch2][C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],1
[C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Br][\C][=C][\C][Branch1][Ring2][N][C][C][=O],1
[C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],0
[C][=C][Branch2][Ring1][=Branch1][C][=Branch1][P][=C][Branch1][N][C][=C][Ring1][=Branch1][\C][=C][\C][Branch1][C][N][=O][O][C][O][C][O][C],1
[C][N][C@@H1][Branch1][C][C][C@H1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],0
[C][=C][C][=Branch1][#C][=C][C][=C][Ring1][=Branch1][SH0][Branch1][Ring1][C][C][=Branch1][C][=O][=O][F],1
[C][=C][C][=Branch2][Ring1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][O][N][C][C][N][Branch1][Ring1][C][C][C][C][=O][Cl],1
[C][=C][Branch1][#C][C][=Branch1][=Branch1][=N][/O][C][C][N][/C][C][C][C][O][C][C][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][C][Cl],1
[N][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][N][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O],0
[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][#Branch1][N][C][Branch1][C][N][=O][=C][Ring1][O],0
[C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch2][C][=Branch1][=Branch1][=N][/O][C][C][N][/C][C][C][C][O][C].[O][=C][Branch1][C][O][\C][=C][/C][=Branch1][C][=O][O],1
[C][C][C][=Branch1][C][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][O][C][C][Branch1][C][O][=O][C][Branch1][C][Cl][=C][Ring1][N][Cl],0
[N][C][Branch1][C][N][=N][\N][=C][\C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl],0
[C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][Branch1][C][O][=O],0
[C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],0
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2],0
[C][=C][C][=Branch2][Ring1][Ring1][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][Branch2][N][N][C][Branch1][C][C][C][=O][Cl],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][Branch1][Ring2][C][C][Cl][=O],1
[N][C@@H1][Branch1][S][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][C][O][=O],0
[C][O][C][C][C][=C][C][=C][Branch1][=C][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C][C][=C][Ring1][#C],1
[C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][=C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][=C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring2][Ring1][Ring2],0
[N][C][Branch2][Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][C][Cl][C][C][Cl][C][Branch1][C][O][=O],0
[C][C@][Branch1][C][N][Branch1][S][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][C][O][=O],0
[C][C][N][C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],0
[N][C][=Branch1][C][=N][N][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring1][N][N][C],1
[Na+1].[C][C][=Branch1][C][=O][N][C][=C][Branch1][C][I][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][=C][Branch1][C][I][C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][Ring1][#C][I],0
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][#Branch2][N][SH0][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][O],1
[H+1].[C][=C][Branch1][P][O][C][C][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C][C][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][C][O][C].[Cl-1],1
[C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][O],0
[C][N][C][Branch1][C][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],0
[C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][O][N][C][Branch1][C][C][=O],1
[N][C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],0
[C][=C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][O][Branch1][C][C][O][C][=C][C][=C][Ring1][=N][Cl],1
[C@H1][Branch1][S][C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][Branch1][=Branch1][C][Branch1][C][O][=O][N],1
[C][N][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2],0
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][C][C][N][Branch1][C][C][C],1
[C][C][O][C][=C][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2],0
[C][=C][Branch1][#Branch2][C][C][\C][Branch1][Ring1][C][N][=C][/F][C][=C][C][=Branch1][Ring2][=C][Ring1][=N][F],1
[C][C][C][N][Branch1][Ring2][C][C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],0
[C][N][C][C][Branch1][C][O][C][=C][C][=C][C][Branch1][=C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][=N],0
[O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],0
[N][Branch1][=Branch1][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][=C][Branch1][Branch2][N][C][Branch1][Ring1][C][C][=O][C][=C][C][=Branch1][Ring2][=C][Ring1][O][O],1
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][Ring1][#Branch2],0
[C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][O][Branch1][C][C][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=N][Cl],1
[ClH0].[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][N],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][Ring1][N][N][C],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch1][Ring2][C][C][#C][C],1
[C][C][C][C][N][C][=Branch1][C][=O][N][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],0
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][#Branch1][N][C][Branch1][C][N][=O][=O],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][O][C][Branch1][#Branch1][N][C][Branch1][C][N][=O][=O][C][C],1
[C][=C][Branch1][=Branch2][O][C][C][Branch1][Ring1][N][N][C][C][=C][C][=C][Ring1][N],1
[C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][C][C][Branch1][O][O][C][Branch1][=Branch1][C][Branch1][C][C][N][=O][Branch1][C][C][C][Cl],1
[C][C][Branch1][C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][C][=Branch1][S][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch1][N][C][Branch1][C][C][C][=O][C][N][N][C],1
[C][=C][Branch1][=Branch2][SH0][Branch1][C][C][=Branch1][C][=O][=O][C][=C][C][=Branch2][Ring1][C][=C][Ring1][#Branch2][C][Branch1][O][N][C][C][N][Branch1][Ring1][C][C][C][C][=O][O][C],1
[C][=C][C][=Branch2][Ring1][Ring1][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][N][Branch1][Ring1][C][C][C][C][=O][N][C][Branch1][C][C][=O],1
[C][=C][C][=C][Branch1][=N][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][Branch1][C][C][C][O][C][Branch1][C][C][C],1
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],1
[C][=C][Branch1][=C][N][C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][=O][C][=C][C][=Branch1][Ring2][=C][Ring1][=N][O],1
[C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][Branch1][C][O][=O][O][C][Branch1][C][C][=O],1
[C@H1][Branch2][Ring1][=Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][Branch1][#Branch1][N][Branch1][Ring1][C][C][C][=O][Branch1][=Branch1][N][Branch1][C][C][C][C],1
[C][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1],1
[O][C][C][O][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][Branch1][Ring2][C][C][Cl][=O],1
[N+1][=Branch2][Ring1][P][=N][C][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Ring1][=Branch2][C][O][=N-1],1
[C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=Branch1][C][=O][N],1
[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1
[O][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl],1
[C@H1][Branch1][#Branch2][C][C][C][N][C][Branch1][C][C][=O][Branch1][=Branch1][C][Branch1][C][O][=O][N][C][Branch1][C][C][=O],1
[C][Branch1][C][Cl][Cl],1
[C][C][Branch1][#C][C][Branch1][O][C][Branch1][#Branch1][N][C][Branch1][C][N][=O][=O][Br][C],1
[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O],1
[C][Branch1][C][Br][Branch1][C][Br][Br],1
[C][Branch2][Ring1][Branch2][SH0][Branch1][P][C][Branch1][C][C][Branch1][C][C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][C][=Branch1][C][=O][=O][C],1
[C][C][C][C][Branch1][C][C][C],1
[F][C][Branch1][C][Br][C][Branch1][C][F][Branch1][C][F][F],1
[C][Branch1][#Branch2][C][Branch1][Branch1][C][C][C][C][C][C][N][C][Branch1][#Branch1][C][C][Branch1][C][C][O][=O],1
[C][N][Branch1][C][C][C][C][O],1
[C][Branch2][Ring1][C][C][Branch1][=C][O][C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][C][C][Branch1][C][C][Branch1][C][C][O],1
[Cl][C][=C][Branch1][C][Cl][Cl],1
[Cl][C][Branch1][C][Cl][Cl],1
[C][Branch1][C][Cl][Branch1][C][Cl][Cl],1
[C][C][Branch1][C][C][O],1
[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][C][Branch1][O][O][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl][=O],1
[Br][C][C][Branch1][C][O][Branch1][C][Br][Br],1
[Cl][C][C][Branch1][C][F][Branch1][C][F][F],1
[C][C][\C][=Branch1][Ring1][=C][/C][C][=Branch1][C][=O][N][C][Branch1][C][N][=O],1
[C][C][C][Branch1][C][C][Branch1][Ring1][C][C][O][C][Branch1][C][N][=O],1
[C][Branch2][Ring1][=Branch2][C][Branch1][=N][N][Branch1][Branch2][C][Branch1][Ring2][\C][=C][\C][=O][C][C][C][Branch1][=Branch1][N][Branch1][C][C][C][=O][C],1
[O][=PH0][Branch1][C][O][Branch1][O][O][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O],1
[C][C][C][Branch1][C][O][Branch1][Ring2][\C][=C][\Cl][C][#C],1
[N][C][=Branch1][C][=O][O][C][C],1
[C][Branch1][P][C][Branch1][=Branch1][C][Branch1][C][N][=O][Branch1][Ring2][C][C][C][C][C][C][C][C],1
[C][Branch2][Ring1][O][C][Branch2][Ring1][Ring2][C][Branch1][S][O][C][O][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=O][=O][C][C][C][C][C],1
[C][Branch1][#Branch1][C][Branch1][Ring1][C][=C][N][C][C][Branch1][C][O][=O],1
[C][=Branch1][C][=C][O][C][=C],1
[Na+1].[Na+1].[Na+1].[O-1][C][=Branch1][C][=O][PH0][Branch1][C][O-1][Branch1][C][O-1][=O],1
[C][C][C][C][Branch1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][Branch1][C][N][=O],1
[N][C][C][C][N][C][C][S][PH0][Branch1][C][O][Branch1][C][O][=O],0
[C][Branch1][C][C][Cl],1
[C][=C],1
[N][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],0
[N][C][Branch1][C][N][=O],1
[C][C][C][Branch1][C][C][Branch1][C][O][C][#C],1
[C][Branch2][Ring1][Ring1][O][C][Branch1][=C][N][C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][=O][C],1
[C][Branch2][Ring1][Ring1][C][Branch1][O][C][Branch1][#Branch1][N][C][Branch1][C][N][=O][=O][Branch1][Ring1][C][C][Br][C],1
[Cl][C][Branch1][Ring2][C][C][C][O],1
[O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][Branch1][C][O][=O],0
[Cl-1].[C][C][Branch1][#Branch2][C][N+1][Branch1][C][C][Branch1][C][C][C][O][C][Branch1][C][N][=O],0
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=S][S][S][C][=Branch1][C][=S][N][Branch1][Ring1][C][C][C][C],1
[C][C][C@@H1][Branch1][Ring1][C][O][N][C][C][N][C@@H1][Branch1][Ring1][C][C][C][O],0
[C][Branch2][Ring1][#Branch2][C][Branch1][=C][N][Branch1][Branch2][C][Branch1][Ring2][\C][=C][\C][=O][C][C][C][C][Branch1][=Branch1][N][Branch1][C][C][C][=O][C],1
[C][SH0][=Branch1][C][=O][=Branch1][C][=O][O][C][C][C][C][O][SH0][Branch1][C][C][=Branch1][C][=O][=O],1
[O][Branch1][=N][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][F][C][Branch1][C][F][F],1
[C][C][C][C][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][Ring2][C][C][C][C][O][C][Branch1][C][N][=O],1
[C][C][C][C][Branch1][Ring2][C][C][C][C][Branch1][C][O][=O],1
[N][C][=Branch1][C][=O][N][O],1
[C@H1][Branch1][=C][C][Branch1][#Branch2][N][C][C][C][C][Branch1][C][O][=O][=O][Branch1][#Branch2][C][Branch1][Ring1][C][O][Branch1][C][C][C][O],1
[C][Branch1][P][C][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][Br][C],1
[Cl][C][C][N][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][Cl][N][=O],1
[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O],0
